,Anzahl_fehlend,Anteil_in_Prozent,Datentyp
ps_car_03_cat,411231,69.08983689844963,category
ps_car_05_cat,266551,44.78253126617071,category
ps_reg_03,107772,18.106489788512327,float64
ps_car_14,42620,7.160473915176441,float64
ps_car_07_cat,11489,1.9302366215734896,category
ps_ind_05_cat,5809,0.975954785857812,category
ps_car_09_cat,569,0.09559619093701067,category
ps_ind_02_cat,216,0.036289590935666624,category
ps_car_01_cat,107,0.01797678810239041,category
ps_ind_04_cat,83,0.013944611331760785,category
ps_car_02_cat,5,0.0008400368272145051,category
ps_car_11,5,0.0008400368272145051,float64
ps_car_12,1,0.000168007365442901,float64
