,Datentyp,Anzahl unterschiedlicher Werte,Fehlende Werte
target,category,2,0
ps_calc_18_bin,category,2,0
ps_calc_17_bin,category,2,0
ps_calc_16_bin,category,2,0
ps_calc_15_bin,category,2,0
ps_car_08_cat,category,2,0
ps_calc_19_bin,category,2,0
ps_ind_18_bin,category,2,0
ps_ind_17_bin,category,2,0
ps_ind_16_bin,category,2,0
ps_ind_13_bin,category,2,0
ps_ind_12_bin,category,2,0
ps_calc_20_bin,category,2,0
ps_ind_10_bin,category,2,0
ps_ind_11_bin,category,2,0
ps_ind_09_bin,category,2,0
ps_ind_08_bin,category,2,0
ps_ind_07_bin,category,2,0
ps_ind_06_bin,category,2,0
ps_ind_04_cat,category,3,83
ps_car_10_cat,category,3,0
ps_car_05_cat,category,3,266551
ps_car_03_cat,category,3,411231
ps_car_07_cat,category,3,11489
ps_car_02_cat,category,3,5
ps_car_11,float64,5,5
ps_ind_02_cat,category,5,216
ps_ind_14,float64,5,0
ps_calc_04,float64,6,0
ps_car_09_cat,category,6,569
ps_calc_05,float64,7,0
ps_ind_01,float64,8,0
ps_ind_05_cat,category,8,5809
ps_calc_09,float64,8,0
ps_calc_02,float64,10,0
ps_calc_01,float64,10,0
ps_calc_07,float64,10,0
ps_calc_03,float64,10,0
ps_reg_01,float64,10,0
ps_car_04_cat,category,10,0
ps_calc_12,float64,11,0
ps_calc_08,float64,11,0
ps_calc_06,float64,11,0
ps_ind_03,float64,12,0
ps_car_01_cat,category,13,107
ps_ind_15,float64,14,0
ps_calc_13,float64,14,0
ps_car_15,float64,15,0
ps_car_06_cat,category,18,0
ps_reg_02,float64,19,0
ps_calc_11,float64,20,0
ps_calc_14,float64,24,0
ps_calc_10,float64,26,0
ps_car_11_cat,category,104,0
ps_car_12,float64,184,1
ps_car_14,float64,850,42620
ps_reg_03,float64,5013,107772
ps_car_13,float64,70482,0
