,Anzahl unterschiedlicher Werte
target,2
ps_calc_18_bin,2
ps_calc_17_bin,2
ps_calc_16_bin,2
ps_calc_15_bin,2
ps_car_08_cat,2
ps_calc_19_bin,2
ps_ind_18_bin,2
ps_ind_17_bin,2
ps_ind_16_bin,2
ps_ind_13_bin,2
ps_calc_20_bin,2
ps_ind_11_bin,2
ps_ind_10_bin,2
ps_ind_09_bin,2
ps_ind_08_bin,2
ps_ind_06_bin,2
ps_ind_07_bin,2
ps_ind_12_bin,2
ps_ind_04_cat,3
ps_car_10_cat,3
ps_car_07_cat,3
ps_car_05_cat,3
ps_car_03_cat,3
ps_car_02_cat,3
ps_ind_02_cat,5
ps_car_09_cat,6
ps_ind_05_cat,8
ps_car_04_cat,10
ps_car_01_cat,13
ps_car_06_cat,18
ps_car_11_cat,104
