script,elapsed_seconds,elapsed_minutes
05_dimensionsreduktion_linear_svc,506.9472,8.44912
03_random_forest,219.5764,3.659606666666667
04_xgboost_histgradientboosting,175.7216,2.9286933333333334
03_RandomForest_Variante3_Fit,151.9729,2.532881666666667
04_HistGradientBoosting_Fit,109.8554,1.8309233333333335
04_XGBoost_RandomSearch_Fit,61.7194,1.0286566666666668
02_logistic_regression,43.6947,0.7282449999999999
01_eda,20.7549,0.345915
02_LogReg_GridSearch_Fit,17.9151,0.298585
03_RandomForest_Baseline_Fit,9.4573,0.15762166666666666
05_LinearSVC_Final_Fit,8.7479,0.14579833333333334
02_LogReg_Final_Fit,4.4427,0.074045
